Customer ID,Age,Gender,Income,Education,Marital Status,Commute Distance,Region,Purchased Bike
CUST0001,56,Female,68304,Bachelors,Single,2-5 Miles,North,Yes
CUST0002,46,Male,99449,PhD,Married,1-2 Miles,North,Yes
CUST0003,32,Female,112986,High School,Single,1-2 Miles,East,Yes
CUST0004,60,Male,119643,Bachelors,Single,2-5 Miles,South,Yes
CUST0005,25,Female,50764,High School,Married,1-2 Miles,East,No
CUST0006,38,Female,116027,PhD,Married,5-10 Miles,South,Yes
CUST0007,56,Female,68494,Masters,Single,0-1 Miles,South,Yes
CUST0008,36,Female,33373,PhD,Single,5-10 Miles,South,Yes
CUST0009,40,Female,42161,Bachelors,Single,1-2 Miles,North,No
CUST0010,28,Male,57350,Masters,Married,10+ Miles,West,Yes
CUST0011,28,Male,55351,Bachelors,Married,0-1 Miles,East,Yes
CUST0012,41,Male,118668,Masters,Married,0-1 Miles,West,No
CUST0013,53,Female,45305,High School,Married,2-5 Miles,East,Yes
CUST0014,57,Male,105353,High School,Married,2-5 Miles,South,No
CUST0015,41,Female,106797,High School,Single,10+ Miles,North,No
CUST0016,20,Female,95953,PhD,Married,0-1 Miles,West,No
CUST0017,39,Male,87458,Bachelors,Single,10+ Miles,North,No
CUST0018,19,Male,50358,PhD,Single,2-5 Miles,East,No
CUST0019,41,Female,33267,High School,Single,2-5 Miles,North,No
CUST0020,61,Male,112745,Bachelors,Married,0-1 Miles,North,No
CUST0021,47,Female,119588,High School,Married,5-10 Miles,West,No
CUST0022,55,Female,68513,PhD,Married,1-2 Miles,South,Yes
CUST0023,19,Female,56092,PhD,Single,2-5 Miles,North,Yes
CUST0024,38,Female,41338,PhD,Single,2-5 Miles,South,Yes
CUST0025,50,Female,30412,High School,Single,5-10 Miles,East,Yes
CUST0026,29,Male,37543,Bachelors,Single,5-10 Miles,North,Yes
CUST0027,39,Male,63496,Bachelors,Single,10+ Miles,West,Yes
CUST0028,61,Female,90692,High School,Single,10+ Miles,East,Yes
CUST0029,42,Female,119084,Bachelors,Married,1-2 Miles,East,No
CUST0030,44,Male,74425,High School,Married,1-2 Miles,West,No
CUST0031,59,Male,68756,Bachelors,Married,0-1 Miles,North,Yes
CUST0032,45,Female,48888,Masters,Married,10+ Miles,North,Yes
CUST0033,33,Male,65735,Masters,Single,2-5 Miles,East,No
CUST0034,32,Female,77295,PhD,Single,10+ Miles,North,Yes
CUST0035,64,Male,113042,Masters,Married,2-5 Miles,South,No
CUST0036,61,Female,115999,Masters,Single,5-10 Miles,West,Yes
CUST0037,20,Male,47955,Masters,Married,10+ Miles,South,Yes
CUST0038,54,Female,67841,High School,Married,5-10 Miles,North,No
CUST0039,24,Male,100640,Masters,Married,1-2 Miles,East,Yes
CUST0040,38,Male,95510,Masters,Single,1-2 Miles,West,No
CUST0041,26,Female,64911,PhD,Married,0-1 Miles,North,No
CUST0042,56,Male,89031,Masters,Married,10+ Miles,North,Yes
CUST0043,35,Female,118726,Masters,Married,5-10 Miles,East,No
CUST0044,21,Male,37357,Bachelors,Single,2-5 Miles,East,No
CUST0045,42,Female,62479,PhD,Single,1-2 Miles,South,Yes
CUST0046,31,Male,91476,PhD,Married,1-2 Miles,West,No
CUST0047,26,Female,74811,PhD,Single,2-5 Miles,West,Yes
CUST0048,43,Male,66208,PhD,Single,5-10 Miles,East,No
CUST0049,19,Female,50150,PhD,Single,5-10 Miles,South,No
CUST0050,37,Male,101180,PhD,Single,10+ Miles,West,Yes
CUST0051,45,Female,73286,High School,Single,10+ Miles,East,No
CUST0052,64,Female,98450,Masters,Single,0-1 Miles,North,No
CUST0053,24,Female,51352,PhD,Single,1-2 Miles,West,No
CUST0054,61,Male,85069,Masters,Single,10+ Miles,South,No
CUST0055,25,Female,44397,Masters,Single,5-10 Miles,South,No
CUST0056,64,Male,71555,High School,Single,2-5 Miles,South,Yes
CUST0057,52,Female,76959,PhD,Married,5-10 Miles,North,No
CUST0058,31,Male,30728,Bachelors,Married,1-2 Miles,West,Yes
CUST0059,34,Female,80517,High School,Single,5-10 Miles,West,Yes
CUST0060,53,Male,96234,Bachelors,Married,0-1 Miles,North,No
CUST0061,57,Male,69954,Masters,Married,1-2 Miles,West,Yes
CUST0062,21,Female,77280,Masters,Single,2-5 Miles,North,Yes
